id,tripID,latitude,longitude,EVsRDR,batterySOC,batteryKMH,currentElevation,currentIncline,totalDistance,distanceFromLastPoint
147,3,-37.77091986,175.1524984,115.9939574,69.04402228,16.57056535,20,-1,-1,-1
148,3,-37.77091986,175.1524984,115.9939574,69.04402228,16.57056535,20,0,0,0
149,3,-37.77091986,175.1524984,115.9939574,69.04402228,16.57056535,20,0,0,0
150,3,-37.77091986,175.1524984,115.9939574,69.04402228,16.57056535,20,0,0,0
151,3,-37.77189908,175.1525784,115.3376974,68.65339132,16.47681392,20,0,0.109,0.109
152,3,-37.77279175,175.1527446,114.8455024,68.3604181,16.40650034,20,0,0.209,0.1
153,3,-37.77377826,175.1526751,114.6814374,68.26276036,16.38306249,20,0,0.32,0.111
154,3,-37.77474951,175.1521984,114.5173724,68.16510262,16.35962463,20,0,0.436,0.116
155,3,-37.77576049,175.1516727,114.3533074,68.06744488,16.33618677,20,0,0.557,0.121
156,3,-37.77676456,175.1512635,114.3533074,68.06744488,16.33618677,20,0,0.675,0.118
157,3,-37.77781645,175.1515178,114.0251774,67.8721294,16.28931106,20,0,0.796,0.121
158,3,-37.77871847,175.1522678,113.8611124,67.77447166,16.2658732,19,-0.06605442,0.92,0.124
159,3,-37.77920935,175.1533469,113.3689174,67.48149844,16.19555962,24.39843941,0.272513653,1.032,0.112
160,3,-37.77965649,175.1544363,113.3689174,67.48149844,16.19555962,35.09082031,0.876594159,1.14,0.108
161,3,-37.78014058,175.1556968,113.0407874,67.28618296,16.14868391,39.47724915,1.049572874,1.263,0.123
162,3,-37.78064081,175.1569296,113.0407874,67.28618296,16.14868391,39,0.94741191,1.385,0.122
163,3,-37.78112726,175.1581664,113.0407874,67.28618296,16.14868391,40,0.924402169,1.506,0.121
164,3,-37.7816259,175.1591239,112.7126574,67.09086748,16.10180819,40,0.864614863,1.606,0.1
165,3,-37.78258822,175.1593573,112.7126574,67.09086748,16.10180819,40,0.800914573,1.715,0.109
166,3,-37.78363965,175.1594921,112.3845274,66.895552,16.05493248,40,0.7430151,1.832,0.117
167,3,-37.78470289,175.159662,112.3845274,66.895552,16.05493248,40,0.691576021,1.952,0.12
168,3,-37.78576212,175.1598758,112.5485924,66.99320974,16.07837034,38.96337891,0.612730406,2.071,0.119
169,3,-37.7868518,175.1600734,112.5485924,66.99320974,16.07837034,29.8304863,0.297614844,2.193,0.122
170,3,-37.78791195,175.1602594,112.7126574,67.09086748,16.10180819,24,0.114090486,2.312,0.119
171,3,-37.78884234,175.1600347,112.5485924,66.99320974,16.07837034,19.31738472,-0.018623662,2.419,0.107
172,3,-37.78966959,175.1592829,112.3845274,66.895552,16.05493248,21,0.026422332,2.532,0.113
173,3,-37.79047069,175.1587612,112.3845274,66.895552,16.05493248,23,0.076648251,2.632,0.1
174,3,-37.79074176,175.1576729,112.3845274,66.895552,16.05493248,22.05371094,0.052285243,2.736,0.104
175,3,-37.79141206,175.1567661,112.3845274,66.895552,16.05493248,22,0.049621964,2.854,0.118
176,3,-37.79229644,175.1562567,112.2204623,66.79789425,16.03149462,20,0,2.962,0.108
177,3,-37.793112,175.1557454,112.2204623,66.79789425,16.03149462,20,0,2.962,0
178,3,-37.793112,175.1557454,112.2204623,66.79789425,16.03149462,20,0,3.063,0.101
179,3,-37.79396783,175.1552574,112.2204623,66.79789425,16.03149462,20,0,3.168,0.105
180,3,-37.79396783,175.1552574,112.2204623,66.79789425,16.03149462,20,0,3.168,0
181,3,-37.7948631,175.1547314,112.0563973,66.70023651,16.00805676,20,0,3.277,0.109
182,3,-37.7948631,175.1547314,112.2204623,66.79789425,16.03149462,20,0,3.277,0
183,3,-37.79576617,175.1542177,112.2204623,66.79789425,16.03149462,20,0,3.388,0.111
184,3,-37.79576617,175.1542177,112.2204623,66.79789425,16.03149462,20,0,3.388,0
185,3,-37.79666676,175.1536879,112.0563973,66.70023651,16.00805676,21,0.019999695,3.498,0.11
186,3,-37.79666676,175.1536879,112.0563973,66.70023651,16.00805676,21,0.019999695,3.498,0
187,3,-37.79666676,175.1536879,112.2204623,66.79789425,16.03149462,21,0.019999695,3.498,0
188,3,-37.79666676,175.1536879,112.2204623,66.79789425,16.03149462,21,0.019999695,3.498,0
189,3,-37.79666676,175.1536879,112.0563973,66.70023651,16.00805676,21,0.019999695,3.498,0
190,3,-37.79666676,175.1536879,0.435797665,0.259403372,0.062256809,21,0.019999695,3.498,0
191,3,-37.79666676,175.1536879,0.435797665,0.259403372,0.062256809,21,0.019999695,3.498,0
192,3,-37.7975855,175.1532415,112.0563973,66.70023651,16.00805676,20,0,3.611,0.113
193,3,-37.7975855,175.1532415,112.0563973,66.70023651,16.00805676,20,0,3.611,0
194,3,-37.7975855,175.1532415,112.0563973,66.70023651,16.00805676,20,0,3.611,0
195,3,-37.79815685,175.1511264,112.0563973,66.70023651,16.00805676,19,-0.018903169,3.82,0.209
196,3,-37.79815685,175.1511264,111.7282673,66.50492103,15.96118105,19,-0.018903169,3.82,0
197,3,-37.79866505,175.150177,111.7282673,66.50492103,15.96118105,19.36669922,-0.011735798,3.918,0.098
198,3,-37.79866505,175.150177,111.5642023,66.40726329,15.93774319,19.36669922,-0.011735798,3.918,0
199,3,-37.7993747,175.1492786,111.4001373,66.30960555,15.91430533,19,-0.018036478,4.027,0.109
200,3,-37.80009043,175.1485534,0.43323415,0.25787747,0.061890593,20,0,4.128,0.101
201,3,-37.80091287,175.1480003,110.9079423,66.01663233,15.84399176,20,0,4.231,0.103
202,3,-37.80180939,175.1474283,110.7438773,65.91897459,15.8205539,19,-0.016542563,4.343,0.112
203,3,-37.80274519,175.1468707,110.7438773,65.91897459,15.8205539,20,0,4.458,0.115
204,3,-37.80360128,175.1462316,110.4157473,65.72365911,15.77367819,20,0,4.569,0.111
205,3,-37.80444395,175.1454991,110.4157473,65.72365911,15.77367819,21.03515434,0.015698313,4.681,0.112
206,3,-37.80485299,175.1444154,110.2516823,65.62600137,15.75024033,27,0.104459835,4.788,0.107
207,3,-37.80474298,175.1431768,110.2516823,65.62600137,15.75024033,34.07530212,0.209515318,4.897,0.109
208,3,-37.80455149,175.1419244,110.2516823,65.62600137,15.75024033,38.03504562,0.268160674,5.009,0.112
209,3,-37.80407662,175.1406884,109.5954223,65.23537041,15.6564889,39.53493881,0.292223737,5.13,0.121
210,3,-37.80365375,175.1394934,109.5954223,65.23537041,15.6564889,38.48639297,0.277634027,5.245,0.115
211,3,-37.80375014,175.1381892,109.4313573,65.13771267,15.63305104,36,0.23742926,5.359,0.114
212,3,-37.80388739,175.1368965,109.2672923,65.04005493,15.60961318,36,0.234228225,5.474,0.115
213,3,-37.80423885,175.135684,108.9391623,64.84473945,15.56273747,39,0.272925539,5.587,0.113
214,3,-37.8048309,175.1345956,108.6110323,64.64942397,15.51586175,40,0.28046331,5.704,0.117
215,3,-37.80475978,175.1333444,108.4469673,64.55176623,15.4924239,39,0.264089879,5.813,0.109
216,3,-37.80522841,175.1322329,108.4469673,64.55176623,15.4924239,39.49930954,0.265365186,5.922,0.109
217,3,-37.80562756,175.1310278,108.2829023,64.45410849,15.46898604,39.30981827,0.257543969,6.04,0.118
218,3,-37.80537363,175.1297519,108.1188373,64.35645075,15.44554818,40,0.265183709,6.159,0.119
219,3,-37.80463552,175.1289189,108.1188373,64.35645075,15.44554818,38,0.240764239,6.273,0.114
220,3,-37.8037936,175.1284847,108.4469673,64.55176623,15.4924239,34.73339844,0.200000587,6.375,0.102
221,3,-37.80345091,175.1274281,108.2829023,64.45410849,15.46898604,24.12597656,0.055815895,6.48,0.105
222,3,-37.80361326,175.1261437,108.1188373,64.35645075,15.44554818,21,0.013292531,6.594,0.114
223,3,-37.80383547,175.1249007,108.1188373,64.35645075,15.44554818,19.60644531,-0.005135739,6.706,0.112
224,3,-37.80383547,175.1249007,108.2829023,64.45410849,15.46898604,19.60644531,-0.005135739,6.706,0
225,3,-37.80399246,175.1236796,108.2829023,64.45410849,15.46898604,21.67333794,0.021471921,6.815,0.109
226,3,-37.8042699,175.1225494,108.1188373,64.35645075,15.44554818,24.13877869,0.052148032,6.919,0.104
227,3,-37.8042699,175.1225494,107.7907073,64.16113527,15.39867247,24.13877869,0.052148032,6.919,0
228,3,-37.80458309,175.1213272,107.6266423,64.06347753,15.37523461,24.89168549,0.060424697,7.032,0.113
229,3,-37.80493744,175.1200577,107.4625772,63.96581979,15.35179675,23.24917412,0.039303887,7.15,0.118
230,3,-37.80524245,175.1189196,107.1344472,63.77050431,15.30492103,29.70967484,0.115319902,7.256,0.106
231,3,-37.80557626,175.117661,106.9703822,63.67284657,15.28148318,36,0.186266434,7.372,0.116
232,3,-37.8059625,175.1163905,106.8063172,63.57518883,15.25804532,32.93214417,0.147452718,7.492,0.12
233,3,-37.80648746,175.1151976,106.4781872,63.37987335,15.2111696,30,0.111542316,7.612,0.12
234,3,-37.80794306,175.1118257,106.3141222,63.28221561,15.18773175,30.31689453,0.112576328,7.732,0.12
235,3,-37.80794306,175.1118257,106.1500572,63.18455787,15.16429389,33,0.13882748,7.851,0.119
236,3,-37.80804134,175.1106585,105.9859922,63.08690013,15.14085603,37,0.176207527,8.054,0.203
237,3,-37.80784835,175.1094585,105.6578622,62.89158465,15.09398032,37,0.17447494,8.162,0.108
238,3,-37.80747925,175.1083339,105.6578622,62.89158465,15.09398032,38,0.183499989,8.269,0.107
239,3,-37.80702256,175.1073193,105.1656672,62.59861143,15.02366674,38.96403122,0.19244692,8.372,0.103
240,3,-37.80705588,175.1038994,105.0016022,62.50095369,15.00022889,38,0.178604532,8.578,0.206
241,3,-37.80705588,175.1038994,105.0016022,62.50095369,15.00022889,38,0.175880803,8.681,0.103
242,3,-37.80607461,175.1004514,105.0016022,62.50095369,15.00022889,38,0.173288681,8.797,0.116
243,3,-37.80607461,175.1004514,104.6734722,62.30563821,14.95335317,37,0.162291299,8.921,0.124
244,3,-37.80560091,175.0994541,104.5094072,62.20798047,14.92991531,38,0.171414733,9.022,0.101
245,3,-37.80467186,175.0946012,104.5094072,62.20798047,14.92991531,39,0.179945209,9.125,0.103
246,3,-37.80467186,175.0946012,104.0172122,61.91500725,14.85960174,39.02044678,0.176924699,9.327,0.202
247,3,-37.80467186,175.0946012,104.0172122,61.91500725,14.85960174,42.95421982,0.211027345,9.445,0.118
248,3,-37.80467186,175.0946012,104.0172122,61.91500725,14.85960174,44.38916016,0.221027718,9.566,0.121
249,3,-37.80457731,175.0918955,104.0172122,61.91500725,14.85960174,45.63183594,0.22895156,9.687,0.121
250,3,-37.80457731,175.0918955,104.0172122,61.91500725,14.85960174,46.38986206,0.232294613,9.804,0.117
251,3,-37.80484176,175.0906727,0.402471962,0.239566644,0.057495995,50,0.25988313,9.918,0.114
252,3,-37.81059128,175.0831991,102.8687572,61.23140307,14.69553674,55,0.287887464,10.28,0.362
253,3,-37.81059128,175.0831991,102.8687572,61.23140307,14.69553674,55.96074677,0.301102142,10.157,-0.123
254,3,-37.81006109,175.0844429,103.0328222,61.32906081,14.71897459,53.5551796,0.285707303,10.035,-0.122
255,3,-37.81059128,175.0831991,102.8687572,61.23140307,14.69553674,58,0.308096212,10.381,0.346
256,3,-37.81059128,175.0831991,102.5406271,61.03608759,14.64866102,59,0.311347918,10.492,0.111
257,3,-37.81404358,175.0804928,101.8843671,60.64545663,14.55490959,60,0.309858413,10.721,0.229
258,3,-37.81404358,175.0804928,102.5406271,61.03608759,14.64866102,59,0.306786457,10.607,-0.114
259,3,-37.81404358,175.0804928,101.5562371,60.45014115,14.50803388,80,0.43889592,11.2,0.593
260,3,-37.81404358,175.0804928,101.5562371,60.45014115,14.50803388,61.43457413,0.315717911,10.844,-0.356
261,3,-37.81404358,175.0804928,101.5562371,60.45014115,14.50803388,80.02586365,0.444175008,11.083,0.239
262,3,-37.81404358,175.0804928,101.5562371,60.45014115,14.50803388,76.01756287,0.420094507,10.966,-0.117
263,3,-37.81404358,175.0804928,100.2437171,59.66887922,14.32053101,85.95263672,0.475975569,11.319,0.353
264,3,-37.81506496,175.0800321,99.91558709,59.47356374,14.2736553,96.12316132,0.542463901,11.439,0.12
265,3,-37.81615104,175.0797151,99.75152209,59.375906,14.25021744,103.4736328,0.587812598,11.567,0.128
266,3,-37.81755346,175.0781747,99.75152209,59.375906,14.25021744,108.470192,0.615466215,11.669,0.102
267,3,-37.81755346,175.0781747,98.60306706,58.69230182,14.08615244,118.5673828,0.677210195,11.773,0.104
268,3,-37.81910935,175.0766125,98.11087205,58.3993286,14.01583886,122.6220703,0.68733139,11.998,0.225
269,3,-37.82111107,175.0765773,98.11087205,58.3993286,14.01583886,140,0.790454273,12.221,0.223
270,3,-37.82205106,175.0765857,97.12648203,57.81338216,13.87521172,142.0654297,0.797926331,12.325,0.104
271,3,-37.81910935,175.0766125,98.43900206,58.59464408,14.06271458,120,0.678690211,11.876,-0.449
272,3,-37.82920087,175.0746351,96.79835203,57.61806668,13.828336,152.7851563,0.860702659,12.432,0.556
273,3,-37.82900465,175.0734313,96.79835203,57.61806668,13.828336,165.1786041,0.932151354,12.553,0.121
274,3,-37.82900465,175.0734313,96.63428702,57.52040894,13.80489815,164.5219727,0.923949605,12.662,0.109
275,3,-37.82900465,175.0734313,96.47022202,57.4227512,13.78146029,167.6035156,0.936747415,12.775,0.113
276,3,-37.82900465,175.0734313,96.47022202,57.4227512,13.78146029,174.7246094,0.971520945,12.874,0.099
277,3,-37.82900465,175.0734313,96.30615702,57.32509346,13.75802243,174.7246094,0.971520945,12.874,0
278,3,-37.82900465,175.0734313,95.32176699,56.73914702,13.61739528,187.0901337,1.026017696,13.107,0.233
279,3,-37.82900465,175.0734313,95.649897,56.9344625,13.664271,172.6256409,0.948139236,12.988,-0.119
280,3,-37.82900465,175.0734313,95.32176699,56.73914702,13.61739528,193.9492188,1.057527867,13.217,0.229
281,3,-37.82900465,175.0734313,95.15770199,56.64148928,13.59395743,193.9492188,1.057527867,13.217,0
282,3,-37.82900465,175.0734313,95.15770199,56.64148928,13.59395743,191.1154938,1.033483726,13.334,0.117
283,3,-37.82935824,175.0711123,95.15770199,56.64148928,13.59395743,188.2021484,1.00782634,13.455,0.121
284,3,-37.82935824,175.0711123,95.15770199,56.64148928,13.59395743,181.9365234,0.960182935,13.559,0.104
285,3,-37.82980868,175.0700426,94.66550698,56.34851606,13.52364385,187.3833008,0.981980263,13.667,0.108
286,3,-37.83011776,175.0689216,94.50144198,56.25085832,13.500206,200.4101563,1.048066874,13.771,0.104
287,3,-37.83068715,175.0679951,94.33737697,56.15320058,13.47676814,193.8378906,0.999472313,13.875,0.104
288,3,-37.83144345,175.0671087,94.50144198,56.25085832,13.500206,192.2138672,0.97892988,13.992,0.117
289,3,-37.83232141,175.0666329,94.66550698,56.34851606,13.52364385,192.2138672,0.97892988,13.992,0
290,3,-37.83232141,175.0666329,94.66550698,56.34851606,13.52364385,186.8833923,0.939651854,14.099,0.107
291,3,-37.83232141,175.0666329,94.82957198,56.4461738,13.54708171,186.8833923,0.939651854,14.099,0
292,3,-37.83249152,175.0654145,94.82957198,56.4461738,13.54708171,167.9472656,0.82556501,14.248,0.149
293,3,-37.83249152,175.0654145,94.82957198,56.4461738,13.54708171,167.9472656,0.82556501,14.248,0
294,3,-37.83220021,175.0605545,94.99363699,56.54383154,13.57051957,165.8099365,0.806957012,14.385,0.137
295,3,-37.83220021,175.0605545,94.99363699,56.54383154,13.57051957,165.8099365,0.806957012,14.385,0
296,3,-37.83220021,175.0605545,94.99363699,56.54383154,13.57051957,157.2333984,0.750986104,14.615,0.23
297,3,-37.83220021,175.0605545,95.15770199,56.64148928,13.59395743,150.9183197,0.714284689,14.724,0.109
298,3,-37.83220021,175.0605545,94.99363699,56.54383154,13.57051957,157.962616,0.756451357,14.507,-0.217
299,3,-37.83220021,175.0605545,95.15770199,56.64148928,13.59395743,157.2333984,0.750986104,14.615,0.108
300,3,-37.83220021,175.0605545,95.15770199,56.64148928,13.59395743,139.6923981,0.65240456,14.836,0.221
301,3,-37.83220021,175.0605545,95.15770199,56.64148928,13.59395743,129.1088867,0.59151369,14.943,0.107
302,3,-37.83220021,175.0605545,95.15770199,56.64148928,13.59395743,129.1088867,0.59151369,14.943,0
303,3,-37.83199636,175.05831,95.485832,56.83680476,13.64083314,130.3157654,0.592876168,15.056,0.113
304,3,-37.83199636,175.05831,95.485832,56.83680476,13.64083314,114.0957108,0.503594236,15.163,0.107
305,3,-37.83199636,175.05831,95.649897,56.9344625,13.664271,114.0957108,0.503594236,15.163,0
306,3,-37.83158665,175.0556032,95.649897,56.9344625,13.664271,108.5312576,0.469272206,15.277,0.114
307,3,-37.83158665,175.0556032,95.81396201,57.03212024,13.68770886,108.5312576,0.469272206,15.277,0
308,3,-37.83158665,175.0556032,95.81396201,57.03212024,13.68770886,96.61637878,0.403700328,15.501,0.224
309,3,-37.83158665,175.0556032,95.97802701,57.12977798,13.71114672,96.61637878,0.403700328,15.501,0
310,3,-37.83165383,175.0544643,95.97802701,57.12977798,13.71114672,80.32861328,0.318226433,15.618,0.117
311,3,-37.83165383,175.0544643,95.97802701,57.12977798,13.71114672,78,0.303617626,15.719,0.101
312,3,-37.83134307,175.0532002,95.97802701,57.12977798,13.71114672,78,0.301783673,15.836,0.117
313,3,-37.83158665,175.0556032,95.81396201,57.03212024,13.68770886,108.5312576,0.469272206,15.277,-0.559
314,3,-37.8311686,175.0519646,95.97802701,57.12977798,13.71114672,76.06054688,0.289732895,15.948,0.671
315,3,-37.83133222,175.0508343,95.97802701,57.12977798,13.71114672,76,0.287084131,16.049,0.101
316,3,-37.83127828,175.0496117,95.485832,56.83680476,13.64083314,73.88010406,0.274193666,16.157,0.108
317,3,-37.83112644,175.0482481,5.957610437,3.546196689,0.851087205,65.17778778,0.228156567,16.278,0.121
318,3,-37.83084204,175.0471536,95.15770199,56.64148928,13.59395743,60.25585938,0.202243235,16.38,0.102
319,3,-37.83043846,175.0461176,95.15770199,56.64148928,13.59395743,58,0.19010946,16.481,0.101
320,3,-37.83007129,175.0450363,95.15770199,56.64148928,13.59395743,57.14090347,0.184934767,16.585,0.104
321,3,-37.83005398,175.0437162,95.32176699,56.73914702,13.61739528,52.0080452,0.158081885,16.7,0.115
322,3,-37.83161071,175.042079,95.32176699,56.73914702,13.61739528,51.45142365,0.15375793,16.82,0.12
